2023-07-09 20:04:27,096 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "get_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>), {}. Инициатор вызова - "run" 
2023-07-09 20:04:27,096 - DEBUG      - server_run - Разбор сообщения от клиента : {'action': 'pubkey_need', 'time': 1688922266.2210977, 'account_name': 'XXX'} 
2023-07-09 20:04:27,097 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "send_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>, {'response': 511, 'bin': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAkRhlp2KReyjIxwXYs3i6\ndFnEabtj3u/0WgFl/3HsRNwKsBRxreujEctbHxVrrlDjPg3elm4PZbdrk2urLkox\nNdYAVQdD9qqEI4fz4r/1o9U6H0FxizzfUZwk0WEH2v1bTobp8DyIh7m/LiOEr7vN\nhyFiooqL40nC8E1ecGk/cretTOWWVLNQ9CYCPZOB6+vbM0+WN4MSbScVvdH1aOgA\nC/PjASRxf0l+0JD82ouVq1S3ue/KP+pIBMgS+4N33ocZGJK4hEq4GvPYuZza85ek\nbY/BCGJHXRC+EQbgjNoFTrT2NUaL1BWofMVug2xdCldDlBvRSsmOxNzNcDbbd7JL\nLwIDAQAB\n-----END PUBLIC KEY-----'}), {}. Инициатор вызова - "process_client_message" 
2023-07-09 20:04:32,108 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "get_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>), {}. Инициатор вызова - "run" 
2023-07-09 20:04:32,108 - DEBUG      - server_run - Разбор сообщения от клиента : {'action': 'exit', 'time': 1688922272.028857, 'account_name': 'QQQ'} 
2023-07-09 20:04:32,108 - INFO       - server_run - Клиент ('127.0.0.1', 46162) отключился от сервера. 
2023-07-09 20:04:32,111 - DEBUG      - server_run - Клиент QQQ корректно отключился от сервера. 
2023-07-09 20:06:38,801 - INFO       - server_run - Получен запрос на соединение от ('127.0.0.1', 34698) 
2023-07-09 20:06:39,303 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "get_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 34698)>), {}. Инициатор вызова - "run" 
2023-07-09 20:06:39,303 - DEBUG      - server_run - Разбор сообщения от клиента : {'action': 'presence', 'time': 1688922398.8084288, 'levon': {'account_name': 'QQQ', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAkrYMPOYjUgBf3rEVaFjg\no91Ti9938M5gyCSK3ueavDf6pW8XnzTOUIbKYEhe45IWu8qPR3U4k/p+Cn4S96Yr\n6uaya1Ibh+KzL7zNqiWiLk2we4Rs7PiYUMl0wZz1ijlHkduERFyx+Yco0avd5RA/\nk6e1dj++RC419dLR15t2XAaVchTk5bKu+HlMWWBElAKyVK3z4kCLvMuzc4uZ5DhA\nOVVW+yMHmxxxk/aGOmWJb41Tym7owJZ6tpqVepboCpCLM5mHYE3uAyDcrme3GHHH\nPy4ecqhuOpdeDFY/0P5EJy6qU575XcPLetxePC6SJOopIqpm3YOJUh0p77wm/8bP\njwIDAQAB\n-----END PUBLIC KEY-----'}} 
